Date;Price
6.10.2015;392,022
7.10.2015;388,08
8.10.2015;391,795
9.10.2015;393,29
12.10.2015;394,514
13.10.2015;391,251
14.10.2015;378,066
15.10.2015;386,539
16.10.2015;389,756
19.10.2015;387,989
20.10.2015;396,19
21.10.2015;393,743
22.10.2015;401,99
23.10.2015;407,971
26.10.2015;409,466
27.10.2015;409,602
28.10.2015;424,69
29.10.2015;425,551
30.10.2015;421,382
2.11.2015;420,114
3.11.2015;418,483
4.11.2015;421,881
5.11.2015;422,651
6.11.2015;421,881
9.11.2015;417,304
10.11.2015;421,835
11.11.2015;430,852
12.11.2015;436,471
13.11.2015;430,58
